representation,target,task,metric,seed,trained,random_label,descriptor,descriptor_noleak,baseline_leaky,gap_vs_descriptor,gap_vs_descriptor_noleak,chance,prevalence,rdkit_version
reconstruction,size,regression,R2,1,0.9810604999580763,-0.007619568791313869,0.9784667089544226,0.9784667089544226,False,0.002593791003653756,0.002593791003653756,0.0,,2023.09.5
raw,polarity,regression,R2,1,0.9929174827701206,-0.008879032303205525,0.9856467755097209,0.9856467755097209,False,0.007270707260399689,0.007270707260399689,0.0,,2023.09.5
latent,polarity,regression,R2,1,0.9737144986146616,-0.06376918339255777,0.9856467755097209,0.9856467755097209,False,-0.011932276895059268,-0.011932276895059268,0.0,,2023.09.5
reconstruction,polarity,regression,R2,1,0.9698368620812787,-0.011086254680584995,0.9856467755097209,0.9856467755097209,False,-0.01580991342844218,-0.01580991342844218,0.0,,2023.09.5
raw,flexibility,regression,R2,1,0.690491377792244,-0.003966503612459649,0.9999999830710584,0.8937892326284874,True,-0.3095086052788144,-0.2032978548362434,0.0,,2023.09.5
latent,flexibility,regression,R2,1,0.595021644962302,-0.058458369976321034,0.9999999830710584,0.8937892326284874,True,-0.4049783381087564,-0.2987675876661854,0.0,,2023.09.5
reconstruction,flexibility,regression,R2,1,0.5783433021848736,-0.007930882013688523,0.9999999830710584,0.8937892326284874,True,-0.4216566808861848,-0.3154459304436138,0.0,,2023.09.5
raw,molecular_weight,regression,R2,1,0.9970135937013681,-0.00945426504567215,0.9784667326501083,0.9784667326501083,False,0.0185468610512598,0.0185468610512598,0.0,,2023.09.5
latent,molecular_weight,regression,R2,1,0.9876041495403037,-0.06681892714949567,0.9784667326501083,0.9784667326501083,False,0.009137416890195427,0.009137416890195427,0.0,,2023.09.5
reconstruction,molecular_weight,regression,R2,1,0.981063380775271,-0.012587627581746696,0.9784667326501083,0.9784667326501083,False,0.0025966481251626927,0.0025966481251626927,0.0,,2023.09.5
raw,halogen,classification,AUROC,1,1.0,0.5142158076821828,1.0,0.9999482070285789,True,0.0,5.179297142110517e-05,0.5,0.49931365820178447,2023.09.5
latent,halogen,classification,AUROC,1,0.9998808372236475,0.4871840904984142,1.0,0.9999482070285789,True,-0.00011916277635248829,-6.736980493138311e-05,0.5,0.49931365820178447,2023.09.5
reconstruction,halogen,classification,AUROC,1,0.9998352749856303,0.5004443405962187,1.0,0.9999482070285789,True,-0.00016472501436970433,-0.00011293204294859915,0.5,0.49931365820178447,2023.09.5
raw,aromaticity,classification,AUROC,1,0.9999425089111188,0.49653120246075666,0.9999492725686342,0.9998624722971861,True,-6.763657515396204e-06,8.003661393274353e-05,0.5,0.9061271604167966,2023.09.5
latent,aromaticity,classification,AUROC,1,0.9963335339885062,0.49331745717645514,0.9999492725686342,0.9998624722971861,True,-0.0036157385801279807,-0.003528938308679841,0.5,0.9061271604167966,2023.09.5
reconstruction,aromaticity,classification,AUROC,1,0.9993044705521624,0.5166441476175461,0.9999492725686342,0.9998624722971861,True,-0.0006448020164717683,-0.0005580017450236285,0.5,0.9061271604167966,2023.09.5
raw,urea,classification,AUROC,1,0.9456650615820166,0.5489765636116023,0.9998790137198442,0.9998790137198442,False,-0.05421395213782765,-0.05421395213782765,0.5,0.009546390466088475,2023.09.5
latent,urea,classification,AUROC,1,0.9149950395625137,0.4891236028748668,0.9998790137198442,0.9998790137198442,False,-0.08488397415733051,-0.08488397415733051,0.5,0.009546390466088475,2023.09.5
reconstruction,urea,classification,AUROC,1,0.8902291480146152,0.5725334888316569,0.9998790137198442,0.9998790137198442,False,-0.10964986570522905,-0.10964986570522905,0.5,0.009546390466088475,2023.09.5
raw,boron,classification,AUROC,1,1.0,0.42758338153075,1.0,0.9999430750839643,True,0.0,5.6924916035705486e-05,0.5,0.002870156610719411,2023.09.5
latent,boron,classification,AUROC,1,0.9999715375419821,0.31135531135531136,1.0,0.9999430750839643,True,-2.8462458017908254e-05,2.8462458017797232e-05,0.5,0.002870156610719411,2023.09.5
reconstruction,boron,classification,AUROC,1,0.9996869129618033,0.6011886143259305,1.0,0.9999430750839643,True,-0.00031308703819665773,-0.00025616212216095224,0.5,0.002870156610719411,2023.09.5
raw,drug_likeness,regression,R2,2,0.5936345624455743,-0.005801813754057195,0.634303705387571,0.634303705387571,False,-0.04066914294199664,-0.04066914294199664,0.0,,2023.09.5
latent,drug_likeness,regression,R2,2,0.6345174721531456,-0.032296475122060686,0.634303705387571,0.634303705387571,False,0.00021376676557460783,0.00021376676557460783,0.0,,2023.09.5
reconstruction,drug_likeness,regression,R2,2,0.5512468167150775,-0.008143827518624747,0.634303705387571,0.634303705387571,False,-0.0830568886724935,-0.0830568886724935,0.0,,2023.09.5
raw,complexity_ringproxy,regression,R2,2,0.9453761299708276,-0.008508976583442962,0.9975830266834177,0.9163102399450371,True,-0.052206896712590045,0.02906589002579052,0.0,,2023.09.5
latent,complexity_ringproxy,regression,R2,2,0.930623686357936,-0.062326667299654526,0.9975830266834177,0.9163102399450371,True,-0.06695934032548168,0.01431344641289889,0.0,,2023.09.5
reconstruction,complexity_ringproxy,regression,R2,2,0.9286720622743663,-0.001697279609024438,0.9975830266834177,0.9163102399450371,True,-0.06891096440905142,0.012361822329329142,0.0,,2023.09.5
raw,lipophilicity,regression,R2,2,0.8882056063033796,-0.009551269947524421,0.9607132452378155,0.9607132452378155,False,-0.0725076389344359,-0.0725076389344359,0.0,,2023.09.5
latent,lipophilicity,regression,R2,2,0.837919976060538,-0.12482268186033707,0.9607132452378155,0.9607132452378155,False,-0.12279326917727751,-0.12279326917727751,0.0,,2023.09.5
reconstruction,lipophilicity,regression,R2,2,0.8269909004684395,-0.006785952968289877,0.9607132452378155,0.9607132452378155,False,-0.13372234476937606,-0.13372234476937606,0.0,,2023.09.5
raw,size,regression,R2,2,0.995135553783871,-0.009653540280649464,0.979137251695328,0.979137251695328,False,0.015998302088543026,0.015998302088543026,0.0,,2023.09.5
latent,size,regression,R2,2,0.981646903556032,-0.03979560764373935,0.979137251695328,0.979137251695328,False,0.002509651860704065,0.002509651860704065,0.0,,2023.09.5
reconstruction,size,regression,R2,2,0.9803372661318684,-0.011486405360184637,0.979137251695328,0.979137251695328,False,0.0012000144365404974,0.0012000144365404974,0.0,,2023.09.5
raw,polarity,regression,R2,2,0.9933774514031788,-0.007458035185190726,0.9862669116593028,0.9862669116593028,False,0.007110539743875988,0.007110539743875988,0.0,,2023.09.5
latent,polarity,regression,R2,2,0.9722901260370482,-0.07557444447933181,0.9862669116593028,0.9862669116593028,False,-0.013976785622254573,-0.013976785622254573,0.0,,2023.09.5
reconstruction,polarity,regression,R2,2,0.9667832980066302,-0.006031724921110371,0.9862669116593028,0.9862669116593028,False,-0.019483613652672593,-0.019483613652672593,0.0,,2023.09.5
raw,flexibility,regression,R2,2,0.6918539184307011,-0.006849210171000264,0.9999999829641733,0.8933820804311908,True,-0.30814606453347215,-0.20152816200048973,0.0,,2023.09.5
latent,flexibility,regression,R2,2,0.5760554528963664,-0.12009599998517473,0.9999999829641733,0.8933820804311908,True,-0.42394453006780686,-0.31732662753482443,0.0,,2023.09.5
reconstruction,flexibility,regression,R2,2,0.578660841214818,-0.00857511826244739,0.9999999829641733,0.8933820804311908,True,-0.4213391417493553,-0.31472123921637285,0.0,,2023.09.5
raw,molecular_weight,regression,R2,2,0.9951550722844886,-0.005260530920478068,0.9791373956611433,0.9791373956611433,False,0.0160176766233453,0.0160176766233453,0.0,,2023.09.5
latent,molecular_weight,regression,R2,2,0.981651299792854,-0.0453850121547974,0.9791373956611433,0.9791373956611433,False,0.002513904131710709,0.002513904131710709,0.0,,2023.09.5
