feature,n_properties,properties,semanticity,activation_frequency,top_enriched_substructures,n_enriched,w_drug_likeness,w_complexity_ringproxy,w_lipophilicity,w_size,w_polarity,w_flexibility,w_molecular_weight,w_halogen,w_aromaticity,w_urea,w_boron
929,3,size|flexibility|molecular_weight,polysemantic,0.04526736132775941,benzene(-60pts)|aromatic_N(-43pts)|amide(-43pts),4,0.014634857885539532,0.000744944263715297,-0.19561079144477844,-0.018339628353714943,0.014978346414864063,-0.0910152941942215,-9.166786193847656,0.11450349145477752,0.19010422141578295,-0.47513238556406134,0.007732042909010346
439,3,size|polarity|molecular_weight,polysemantic,0.33895925625506956,ether(+60pts)|ester(+57pts)|amine_primary(-37pts),3,-0.0003768174792639911,0.003632429288700223,0.017787722870707512,-0.02755633555352688,0.0392485111951828,0.06970065087080002,-13.760663032531738,-0.7733258878308816,0.21533219690515765,0.2265084128700238,0.0032117754168452203
854,3,lipophilicity|halogen|aromaticity,polysemantic,0.9358582392213141,halogen_Cl(+100pts)|nitrile(-50pts)|amine_secondary(-37pts),3,0.002260098233819008,-0.0020783001091331244,0.4644691050052643,0.01491217315196991,-0.024055590853095055,-0.05257688835263252,7.454357147216797,4.5670725640417595,2.173846336865449,0.7433794727963434,-0.0664878078772178
591,3,drug_likeness|size|molecular_weight,polysemantic,0.23101640980844823,ester(+70pts)|ether(+50pts),2,-0.0790470764040947,0.011468974873423576,0.30713334679603577,0.024113530293107033,0.010394417680799961,-0.06482932716608047,12.056706428527832,0.7229436086337301,-0.03777630829991838,-0.43518352591287207,0.017946382166537437
956,3,drug_likeness|complexity_ringproxy|flexibility,polysemantic,0.20655768390840457,amide(-57pts)|halogen_F(-53pts)|aromatic_N(-50pts),5,-0.06591816991567612,0.034788720309734344,0.30457767844200134,-0.0011374459136277437,-0.0014520620461553335,0.09701846539974213,-0.5348387360572815,-0.26299144042418154,-0.3875176627380594,-0.15394336980680712,0.02473897080800007
41,3,complexity_ringproxy|flexibility|halogen,polysemantic,0.47335745928745243,ester(+53pts),1,-0.0042208656668663025,0.025296146050095558,0.37430691719055176,0.005473119206726551,-0.004534686915576458,0.12568804621696472,2.7532248497009277,-1.4971578385375368,0.3668656085998391,0.6117666335590861,-0.03509307516356267
831,2,aromaticity|urea,polysemantic,0.6397641480002496,halogen_Br(+63pts)|amine_tertiary(+60pts)|amide(-53pts),4,0.008070513606071472,0.0023519026581197977,-0.014157307334244251,-0.0028924017678946257,0.003103414783254266,0.020811954513192177,-1.4465664625167847,0.009846933691723481,1.3088184158478495,1.009694146772118,-0.05990623533732857
468,2,size|molecular_weight,polysemantic,0.07393773008048918,benzene(-80pts)|amide(-50pts)|halogen_F(-37pts),4,0.0013496701139956713,0.011519843712449074,0.21799325942993164,-0.022341802716255188,0.002243544440716505,0.0673760175704956,-11.136421203613281,0.04835422473857901,-0.01710855292963961,-0.07712089667834461,-0.027957664979628656
824,2,complexity_ringproxy|polarity,polysemantic,0.5278592375366569,benzene(-77pts)|amide(-53pts)|ether(-40pts),3,0.03974001109600067,-0.017422635108232498,0.3600117862224579,-0.0031620219815522432,0.03866392746567726,-0.033993251621723175,-1.57326078414917,0.9197546205858366,0.4410184583188127,-0.43173973424541456,0.022782621253983906
775,2,lipophilicity|polarity,polysemantic,0.13077930991451925,benzene(-67pts)|ether(-40pts),2,0.0407620333135128,-0.00521314051002264,1.12702214717865,0.002614966593682766,-0.040215469896793365,-0.043649423867464066,1.3203954696655273,-0.05818838449911216,0.16771558254703875,0.03724446119983436,0.03402268139856309
493,2,flexibility|halogen,polysemantic,0.4053472265551881,,0,0.006117098964750767,-0.0026492488104850054,-0.36960214376449585,0.012848411686718464,-0.003995830658823252,0.0979035273194313,6.430844306945801,-2.5203042052606315,-0.1003508986900687,0.911953488665518,0.0008044478748001028
652,2,urea|boron,polysemantic,0.017876084108067635,amide(-43pts)|halogen_I(+40pts),2,-0.003066923003643751,0.00039299362106248736,0.00948899146169424,0.0012199378106743097,0.00023309332027565688,0.0033924044109880924,0.6098736524581909,0.09566458022445905,0.19814386618483457,-1.1263642157453213,0.3398846161019361
518,2,lipophilicity|flexibility,polysemantic,0.3235165657952206,aromatic_N(+53pts)|ester(+50pts),2,0.006710167974233627,0.0042771934531629086,0.4772161543369293,0.01494576781988144,-0.016369977965950966,-0.08416087925434113,7.4775071144104,0.45544947184276063,0.17242878588716196,-0.5930328744019823,0.008340116381193318
800,2,lipophilicity|flexibility,polysemantic,0.48393336245086416,benzene(-93pts)|amide(-63pts)|aromatic_N(+53pts),4,0.008856263943016529,0.013707747682929039,-0.5131469368934631,-0.0012007553596049547,-6.244219548534602e-05,0.08813799917697906,-0.5759260058403015,-0.38023540529898386,0.7016240446874551,-0.3182283505077021,-0.06036239081250631
557,2,complexity_ringproxy|aromaticity,polysemantic,0.49603793598302864,aromatic_N(-57pts)|benzene(-57pts)|sulfone(+43pts),4,-0.06030730530619621,0.06902296841144562,0.058245252817869186,0.00750545272603631,-0.001544203027151525,0.07467144727706909,3.762357711791992,0.3213544496451003,-1.114794243396138,-0.06507760816334618,-0.0008037626495684197
558,2,flexibility|aromaticity,polysemantic,0.35234292132027206,benzene(-80pts)|amide(-57pts)|halogen_F(-43pts),3,-0.006038597319275141,-0.002331728581339121,0.44338124990463257,0.016523223370313644,-0.02850121259689331,-0.11746622622013092,8.279208183288574,0.939340505879235,1.0731567718282107,0.13833595254017614,-0.040927508161218325
608,2,polarity|halogen,polysemantic,0.4274973482248705,aromatic_N(+43pts)|alcohol(-33pts),2,-0.007253244519233704,0.01115605141967535,-0.11782443523406982,0.011894261464476585,-0.03493937849998474,-0.01972660794854164,5.947320938110352,1.6472212424087687,0.3715516243187217,0.08555536732839933,-0.02450551581120175
593,2,drug_likeness|aromaticity,polysemantic,0.5248642915080801,aromatic_N(-80pts)|ketone(+40pts),2,-0.0763382539153099,-0.003341986332088709,0.23235945403575897,-0.005918438080698252,0.017177384346723557,0.05287335440516472,-2.9553489685058594,-0.27523525383229164,-1.131918586568587,-0.6224650073037606,-0.08147542383188261
