representation,target,task,metric,trained_mean,trained_std,random_label_mean,descriptor_mean,descriptor_noleak_mean,gap_mean,gap_std,gap_noleak_mean,gap_noleak_std,baseline_leaky,prevalence,n_seeds,trivially_decodable
latent,flexibility,regression,R2,0.5949442478575018,0.01656163536080206,-0.06876777197421316,0.9999999826249708,0.8965423405071091,-0.40505573476746903,0.016561634121427596,-0.30159809264960724,0.013834899653280802,True,,5,True
raw,boron,classification,AUROC,0.9999796801689083,2.9028073823409876e-05,0.4885672992280872,1.0,0.9999729753546095,-2.0319831091675233e-05,2.9028073823416117e-05,6.704814298763573e-06,4.596375569217761e-05,True,0.002870156610719411,5,True
raw,halogen,classification,AUROC,0.9999377720736099,8.521455470581442e-05,0.5090811978102151,0.999999688469153,0.9999453179032283,-6.191639554300465e-05,8.478352548863305e-05,-7.545829618305078e-06,6.591007808994603e-05,True,0.49931365820178447,5,True
raw,aromaticity,classification,AUROC,0.9998587293405727,0.00016902875421861575,0.49648016520852256,0.9999891916738557,0.9999709426632449,-0.00013046233328299904,0.00017728457260664463,-0.00011221332267226103,0.00019592628877145488,True,0.9061271604167966,5,True
raw,urea,classification,AUROC,0.9220981488160183,0.02398434467804699,0.5232132152872098,0.9992356282916909,0.9992356282916909,-0.07713747947567276,0.0249398241657164,-0.07713747947567276,0.0249398241657164,False,0.009546390466088475,5,True
raw,molecular_weight,regression,R2,0.9964746295662369,0.0011697265669984263,-0.005233932897346793,0.980054416350711,0.980054416350711,0.016420213215525892,0.001744273074840473,0.016420213215525892,0.001744273074840473,False,,5,True
raw,size,regression,R2,0.9964723292813584,0.0011697547432351879,-0.008361001741089159,0.9800543895507907,0.9800543895507907,0.01641793973056762,0.0017456098384433824,0.01641793973056762,0.0017456098384433824,False,,5,True
raw,polarity,regression,R2,0.9930694104334169,0.0002400528463338761,-0.006945709035176062,0.9855088816032213,0.9855088816032213,0.0075605288301954674,0.0004399826289525697,0.0075605288301954674,0.0004399826289525697,False,,5,True
raw,complexity_ringproxy,regression,R2,0.9485259248476006,0.00441804432957502,-0.007527434731669747,0.9982445348714831,0.912530417346829,-0.04971861002388265,0.0035712512576644893,0.035995507500771476,0.006729046854050277,True,,5,False
raw,lipophilicity,regression,R2,0.8857003974171264,0.0044218683429109035,-0.00661684279139092,0.9589202000442926,0.9589202000442926,-0.07321980262716618,0.004160002558220737,-0.07321980262716618,0.004160002558220737,False,,5,True
raw,flexibility,regression,R2,0.694392062884843,0.009123961246761379,-0.007755933527808035,0.9999999826249708,0.8965423405071091,-0.3056079197401278,0.00912395983150301,-0.20215027762226606,0.00613250441758108,True,,5,True
raw,drug_likeness,regression,R2,0.5859686921672522,0.015125486803224097,-0.006558846219872061,0.611748606697414,0.611748606697414,-0.025779914530161797,0.021158161623754106,-0.025779914530161797,0.021158161623754106,False,,5,True
reconstruction,halogen,classification,AUROC,0.999773272341949,0.0002121232409166244,0.5006538453509737,0.999999688469153,0.9999453179032283,-0.00022641612720399883,0.0002119278657426938,-0.00017204556127929925,0.00019695787120576098,True,0.49931365820178447,5,True
reconstruction,aromaticity,classification,AUROC,0.9997650813285681,0.00029526505893284934,0.511550117725342,0.9999891916738557,0.9999709426632449,-0.00022411034528750927,0.00027638374964561853,-0.00020586133467677127,0.0002447524620092182,True,0.9061271604167966,5,True
reconstruction,boron,classification,AUROC,0.9991184859705277,0.0013961413257370832,0.5128042798123494,1.0,0.9999729753546095,-0.0008815140294722967,0.0013961413257370903,-0.000854489384081858,0.0014038187015719622,True,0.002870156610719411,5,True
reconstruction,urea,classification,AUROC,0.8734055529060429,0.03475021535862834,0.53440789604618,0.9992356282916909,0.9992356282916909,-0.125830075385648,0.03598153035366187,-0.125830075385648,0.03598153035366187,False,0.009546390466088475,5,True
reconstruction,size,regression,R2,0.9820664125753158,0.0024722464689787517,-0.011019167880791958,0.9800543895507907,0.9800543895507907,0.0020120230245251,0.0008517101798209434,0.0020120230245251,0.0008517101798209434,False,,5,True
reconstruction,molecular_weight,regression,R2,0.9820633956641494,0.002475017113344983,-0.009831121225159523,0.980054416350711,0.980054416350711,0.0020089793134383084,0.0008541547964329706,0.0020089793134383084,0.0008541547964329706,False,,5,True
reconstruction,polarity,regression,R2,0.9675692089892266,0.0017158009697952918,-0.008897900059257368,0.9855088816032213,0.9855088816032213,-0.017939672613994852,0.0018402965859465345,-0.017939672613994852,0.0018402965859465345,False,,5,True
reconstruction,complexity_ringproxy,regression,R2,0.932833983720136,0.005790316078835214,-0.011032346919201875,0.9982445348714831,0.912530417346829,-0.06541055115134708,0.004895493430732739,0.020303566373307037,0.007951858214893942,True,,5,False
reconstruction,lipophilicity,regression,R2,0.8247156305402497,0.005872706090130815,-0.007555450999927471,0.9589202000442926,0.9589202000442926,-0.13420456950404286,0.005749258993327168,-0.13420456950404286,0.005749258993327168,False,,5,True
reconstruction,flexibility,regression,R2,0.5782359885524309,0.00988825355032924,-0.00941805781593108,0.9999999826249708,0.8965423405071091,-0.42176399407254,0.009888251940481516,-0.3183063519546782,0.007925231504665913,True,,5,True
reconstruction,drug_likeness,regression,R2,0.5459143875919926,0.018963148153025276,-0.008383343867001836,0.611748606697414,0.611748606697414,-0.06583421910542138,0.02297393412457018,-0.06583421910542138,0.02297393412457018,False,,5,True
