feature,intervention,scale,property,metric,baseline,ablated,delta,frac_molecules_affected
163,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.7967202012484261,-0.14326567068575324,0.5089848380857304
163,ablate,0.0,lipophilicity,R2,0.8243855740422517,-0.5516312218129764,-1.376016795855228,0.5089848380857304
163,ablate,0.0,size,R2,0.9805196350182971,0.9779292228575055,-0.0025904121607915886,0.5089848380857304
163,ablate,0.0,polarity,R2,0.9674208407166979,0.8786276834944386,-0.08879315722225922,0.5089848380857304
163,ablate,0.0,flexibility,R2,0.566849969287009,0.4612680840136778,-0.10558188527333123,0.5089848380857304
163,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.977724223222731,-0.0027877282465564868,0.5089848380857304
163,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9997033680624073,-4.088789425316097e-05,0.5089848380857304
163,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999351761502822,-6.0559122762704476e-05,0.5089848380857304
163,ablate,0.0,urea,AUROC,0.8499297615658112,0.7882987710038801,-0.06163099056193111,0.5089848380857304
163,ablate,0.0,boron,AUROC,1.0,0.999893265782433,-0.00010673421756701718,0.5089848380857304
741,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.5291087868557052,-4.808590245564126e-05,0.7774068758969239
741,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.9189047912620144,-0.021081080672164965,0.7774068758969239
741,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.7753897668464775,-0.04899580719577412,0.7774068758969239
741,ablate,0.0,size,R2,0.9805196350182971,0.977516995651595,-0.0030026393667020868,0.7774068758969239
741,ablate,0.0,polarity,R2,0.9674208407166979,0.710657726234937,-0.2567631144817609,0.7774068758969239
741,ablate,0.0,flexibility,R2,0.566849969287009,0.34356828331997546,-0.22328168596703357,0.7774068758969239
741,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9775001503146993,-0.0030118011545882117,0.7774068758969239
741,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9996742597757845,-6.999618087599746e-05,0.7774068758969239
741,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.99623595198941,-0.00375978328363491,0.7774068758969239
741,ablate,0.0,urea,AUROC,0.8499297615658112,0.8410540706525703,-0.008875690913240919,0.7774068758969239
741,ablate,0.0,boron,AUROC,1.0,0.9999715375419822,-2.8462458017797232e-05,0.7774068758969239
995,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.4736656470507685,-0.05549122570739229,0.35730330068010235
995,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.8400789556917909,-0.09990691624238845,0.35730330068010235
995,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.819670113256403,-0.004715460785848613,0.35730330068010235
995,ablate,0.0,size,R2,0.9805196350182971,0.9468830368643524,-0.03363659815394471,0.35730330068010235
995,ablate,0.0,polarity,R2,0.9674208407166979,0.901266678943673,-0.06615416177302491,0.35730330068010235
995,ablate,0.0,flexibility,R2,0.566849969287009,-0.04866765429145481,-0.6155176235784638,0.35730330068010235
995,ablate,0.0,molecular_weight,R2,0.9805119514692875,0.9467148635685677,-0.03379708790071978,0.35730330068010235
995,ablate,0.0,halogen,AUROC,0.9997442559566605,0.9994667050363859,-0.00027755092027459405,0.35730330068010235
995,ablate,0.0,aromaticity,AUROC,0.9999957352730449,0.9999960195881752,2.8431513032778355e-07,0.35730330068010235
995,ablate,0.0,urea,AUROC,0.8499297615658112,0.8496662203722047,-0.00026354119360649797,0.35730330068010235
995,ablate,0.0,boron,AUROC,1.0,0.9997936471793704,-0.00020635282062964055,0.35730330068010235
632,ablate,0.0,drug_likeness,R2,0.5291568727581608,0.5282973701029638,-0.0008595026551969642,0.40069882074000124
632,ablate,0.0,complexity_ringproxy,R2,0.9399858719341794,0.9398087413868785,-0.0001771305473008411,0.40069882074000124
632,ablate,0.0,lipophilicity,R2,0.8243855740422517,0.8239393040395334,-0.0004462700027182409,0.40069882074000124
