,drug_likeness,complexity,lipophilicity,size,polarity,flexibility
Factor_81,-0.00468945847152026,0.006120392579086576,-0.002263714076105504,-0.008212773870427204,0.001190663804382122,-0.0032617230020085264
Factor_82,0.008656688969436794,0.0039029670579243505,-0.003284571990131266,-0.005473198508146041,-0.002132241103034224,-0.00589611033410002
Factor_83,-0.052520307590847755,0.10525702261135368,-0.13997750177799206,-0.3542863744772785,-0.1764821683329741,-0.12901257644808647
Factor_84,0.0029937688415082268,0.001820446071072942,-0.003144612457141789,-0.006598576215230936,-0.007374153089821019,-0.005867102922440591
Factor_85,-0.13695527415396688,0.10108426741508958,-0.07680622331916542,-0.21670155860606014,-0.10017716365635419,-0.10604837738506563
Factor_86,0.05543385360672248,-0.3646575978025224,0.38713948432052675,-0.075621638222832,-0.5696790170748737,-0.13809918534035728
Factor_87,-0.1523021080138573,0.18279184730896353,-0.21737109185896755,-0.368646981059039,-0.0584896312505528,-0.1739458783958438
Factor_88,0.005289238699314957,-0.04355963790095871,0.16932989810865604,0.22417390478978652,-0.007002167349311124,0.03358247243629911
Factor_89,-0.0018146601812796222,-0.008693441116942046,-0.0047156107684992185,-0.0008292076812880019,-0.00018212322518076102,-5.121536925619586e-05
Factor_90,0.0065293524554185176,0.0008724647693246206,0.004623888375408598,0.001651779814813801,-0.000932261143332552,-0.0062924191612842035
Factor_91,-0.2405343839368971,0.17191460915449316,0.15420299039780905,0.23121776918374087,-0.03541320193759652,-0.057898425233483514
Factor_92,0.0023378804477003023,0.0059775126440091385,-0.004198117860394219,-0.004713063942013706,-0.0009200513971149882,-0.0010693012589605441
Factor_93,-0.20043943106865378,0.09913298342553088,-0.016109710047144437,0.2182566151579139,0.24873555926698665,0.06555097893830242
Factor_94,0.009586762631877355,0.021288680700541823,0.018228135286260518,-0.027830558249791918,-0.03231296142026548,-0.005024643403303709
Factor_95,-0.13355750061604768,0.3434191025889027,0.05832518341689682,-0.07265114011962007,-0.0854262024880404,0.14982318012366339
Factor_96,0.02866364138843741,-0.41153532205599097,-0.258594498190308,-0.04382978322565771,-0.08365981502308792,-0.06300526883169401
Factor_97,0.0055373211322750655,-0.0028680246790621275,-0.004235684325752089,-0.007932363219749433,-0.0011484233681012487,-0.006908161768998994
Factor_98,-0.0029328112392847847,-0.0005726503884746382,-0.0008097490464126084,-0.005773587473750541,-0.0020209474579608363,-0.005380394082596832
Factor_99,0.09967707576461976,-0.11608854145673994,-0.11175191045349551,-0.10886678351872806,0.011095889892118384,-0.08016130488131416
Factor_100,0.0017327363210568893,-0.01354122146106329,0.0052198405113220835,0.004555330021129649,-0.009832948673035413,-0.0021187855060992777
Factor_101,-0.0051099256614258615,0.004603770928109814,0.002380611298327993,0.005528116621451267,0.013235592845032474,-0.00178813819313786
Factor_102,-0.002442290569028526,-5.527870486790765e-05,-0.0029143476675912955,0.00012883115508807974,-0.0007566959116435317,-0.001577524832421984
