,positive_ionizable,halogen_F,halogen_Br,aromatic_ring,halogen_Cl,nitro,negative_ionizable,sulfone,nitrile,methyl,amine_primary,aromatic_S,aromatic_N,amine_tertiary,alcohol,methylene,terminal_alkyne,thiophene,aromatic_O,hbond_acceptor,phenyl,benzene,carboxylic_acid,quaternary_carbon,triple_bond,hbond_donor,ether,amide,ester,double_bond,vinyl,amine_secondary,cyclohexane,methine,pyridine,cyclopentane,allyl,cyclopropane,phenol,ketone
amine_primary,-0.034220856497376426,-0.045279510885233736,-0.03166915446296855,0.027677329801318016,0.0044507323422249495,-0.03398300995124211,-0.03498589496316673,-0.04711286585734386,-0.092173169264291,-0.037631485587607906,0.9999999999999999,-0.029754538947564708,0.05695199884373494,-0.050407935966152215,-0.1103555918025699,-0.053810078702740106,-0.02054601119474968,-0.02771768281482448,0.043946561719318065,-0.16287458222724005,0.0004575347148899575,2.6640767079637693e-05,-0.06793009192858179,-0.021128267241941053,-0.009659754010867905,0.2637370241260207,-0.09867929203514536,-0.014689265702565563,-0.011085196181165565,-0.028904388687933668,-0.03137980401864073,-0.10476578826348845,0.05735996623481488,-0.005548735212332453,-0.002526346556249378,0.04214261345079684,-0.016856279746087454,-0.014773980744901445,-0.04242357052168154,-0.024559384071282983
aromatic_S,-0.020067121929531077,-0.03976193556533117,0.0005505476593374162,0.15644999644260743,0.0328433008264799,-0.023260221734772244,-0.02428759844625164,-0.014701121660495363,-0.03437995800077304,-0.024250604009390823,-0.029754538947564708,1.0,0.07993174923077292,-0.0528416547775183,-0.0658102861045812,-0.10744076335963859,-0.020322331510487842,0.6010838383386243,0.013601243195187464,-0.05780147444110735,-0.055382307162126936,-0.056064902463462546,-0.022946667819289834,-0.05985751437651859,-0.013461053597107149,-0.06311371615306303,-0.06725938644016809,-0.003237195187541149,0.028016077498440147,-0.011266551175840932,-0.009540885392944766,-0.001868104523485152,-0.023734159863183158,-0.10111075936668475,-0.060711227619696134,-0.030619468891425628,-0.011427721667519559,-0.033158260847670144,-0.02366686929753834,0.01709687645761686
aromatic_N,-0.06515549854160237,0.006564592275148826,0.030283933529121856,0.5371686624040672,-0.004107402840456637,-0.06334967142690594,-0.05881953530910902,-0.043541469181148415,-0.07060360970449121,0.015185966195004317,0.05695199884373494,0.07993174923077292,0.9999999999999999,-0.2583429757161295,-0.12268151397111533,-0.227788829168341,-0.07213703231501192,0.007248139890589161,0.20273059189079778,-0.3977647676839699,-0.2204765094493577,-0.22124009471827316,-0.04908352315607386,-0.13077693696353226,-0.07524130253028766,-0.14890153785781463,-0.11824108352222679,-0.33336192985273155,-0.05138005699893186,-0.011299803576996111,-0.024386985417320126,-0.10396931917417092,-0.06951134792418895,-0.20958798369866183,0.1624769362943337,-0.0830398378854423,-0.036901940129156194,-0.06987667047728433,-0.02683659370937326,-0.02597039989820134
amine_tertiary,0.0310079499606563,-0.05019486317570414,-0.05700197912129157,-0.23548804238095822,-0.03184022173310286,0.03849790563783782,0.02557179866786762,-0.05288239759356061,0.003967151727827523,0.07483968021967173,-0.050407935966152215,-0.052841654777518295,-0.2583429757161295,1.0,0.016756887763048157,0.383624860130598,0.03842284209404911,-0.028670172206598846,-0.13478796662746498,0.49344029929222777,-0.0668332622046156,-0.06720988492388251,-0.036783571172084896,0.013716364952522077,-0.0009355918451378125,-0.25406246618040607,-0.03540791342511411,0.3863935389370603,-0.05928631302743359,-0.09982645165463531,-0.09201472081802929,-0.29982923041335846,-0.062391987105301944,0.12803403783675027,-0.026593361310994355,-0.04561362298020113,-0.06248793035932656,0.019200199526776054,-0.014168204737219865,-0.13418149862771633
alcohol,0.05541704441862737,-0.08249205179625764,-0.0682732139488122,-0.1171437338692043,-0.024160202745396597,0.06536705394608695,0.05339123153444709,-0.012047844138213488,-0.14847511861721646,-0.0871076204586148,-0.1103555918025699,-0.06581028610458119,-0.12268151397111535,0.016756887763048157,0.9999999999999998,-0.01932054034432025,-0.04144529551848315,-0.021303265574070047,-0.07630586859146872,0.04779384389494058,0.0019392465674960891,0.0030410207413522987,0.6027114997146598,0.042949274929155005,-0.01949014517443571,0.5424494840465558,0.18569855621367615,-0.030187693565722873,-0.12666938731868463,0.021155774608979064,0.022692874989875222,-0.14214231749252607,0.04797094988222643,0.09886079215987527,-0.01270417227115577,0.03708212450600274,0.01293650117941778,-0.020589425805921813,0.2827421698628962,0.011494306179101578
methylene,-0.053508970692167764,-0.14032221050577237,-0.1706300905775176,-0.5513606639417841,-0.15279430646313594,-0.04771161963820577,-0.05389840481994674,-0.021219207591801858,-0.15566344152063769,-0.17787150204593957,-0.0538100787027401,-0.1074407633596386,-0.227788829168341,0.38362486013059793,-0.01932054034432025,1.0,0.041461344425250866,-0.06585520434271985,-0.12680856504602359,0.1733406651267381,-0.3066303444492414,-0.3074688481384429,-0.12802693488398026,0.26559935567610043,0.01879460003058438,-4.1897811129699434e-05,0.1029418769938919,0.19888672765758,0.028404561482659026,0.024805332216771635,0.03140078199712122,0.07303300707260262,0.36247264632605297,0.36094442651745906,-0.20580279626447515,0.14269281613732926,0.07318625858646349,0.11112967971328118,-0.05134888055757861,-0.10180041774814357
terminal_alkyne,-0.010469285619931311,-0.026251125987394996,-0.022407726567914076,-0.1176556154051646,-0.019043679742334056,-0.01143559215439064,-0.010537168207052899,-0.015327690723695749,-0.03459061800580503,-0.03624606295093864,-0.02054601119474968,-0.020322331510487845,-0.07213703231501192,0.038422842094049114,-0.04144529551848316,0.041461344425250866,1.0,-0.009891945267469001,-0.01887932505705143,-0.022266585962920287,-0.0687785354721411,-0.0693575077321519,-0.022461168532081754,0.09480106954897301,0.6909617024966495,-0.05079133178592198,-0.03797908742370819,0.04476093180592023,-0.017891985563766845,-0.023401802143458206,-0.023832050168855867,-0.0105084382173896,0.06403444538038676,0.11906819044172769,-0.011845927877722583,-0.016568600703488912,-0.019974956768990554,0.06206785110754309,-0.01805132137452742,-0.02742633491463169
thiophene,-0.017290671144551767,-0.020394530405215265,0.011127673126421702,0.09341800388489646,0.031989684573428115,-0.018918559965099276,-0.021967638352153346,-0.006540030260982661,-0.011572814626485722,-0.029148223898688083,-0.027717682814824472,0.6010838383386244,0.007248139890589162,-0.02867017220659885,-0.021303265574070047,-0.06585520434271985,-0.009891945267469001,1.0,0.019310189799582392,-0.01909906172825091,-0.0580693145749028,-0.05871818616352073,0.009414384483778298,-0.04024916922406369,-0.0066290408058326325,-0.04251280087922847,-0.048085300493502854,0.00812918488008449,0.03187794737676888,-0.008235825853111492,-0.008130239052727166,-0.018291423988002126,-0.009721392548934251,-0.050879997836030325,-0.03905576867538301,-0.019625688257636997,-0.0006862183197161569,-0.0243921078048171,-0.020017752762953114,0.01350545251618556
aromatic_O,-0.024152534054467982,-0.014814810999837977,0.03179245088632862,0.25820101561054304,0.013413921354109163,-0.026753477784013616,-0.02619641322729518,-0.0001735847712011435,-0.018066687101434234,-0.013042573225320734,0.043946561719318065,0.013601243195187464,0.20273059189079776,-0.134787966627465,-0.07630586859146872,-0.12680856504602359,-0.01887932505705143,0.019310189799582392,1.0,-0.18263236629382276,0.020589522540329388,0.019712754020503744,-0.04422213239085894,-0.07676002313352076,-0.027390752328965668,-0.07503914479479559,-0.04889383258811061,-0.15160465308401286,-0.029784035558683003,0.03782558684106412,0.021141767018370214,-0.050477734225884204,-0.031511373055105464,-0.08651250250470655,-0.042314068073748205,-0.020597240721565678,0.006868927565130503,-0.00855942805845616,-0.004197109520383653,-0.013527593458982986
hbond_acceptor,0.08447549257886001,-0.08696790495791307,-0.139547952592233,-0.2797550284588487,-0.043421060434816215,0.08547308923472702,0.08502129833794571,0.25141060271955207,0.23189258538419796,0.17556098474294207,-0.16287458222724005,-0.05780147444110735,-0.3977647676839699,0.49344029929222777,0.04779384389494059,0.17334066512673807,-0.022266585962920287,-0.019099061728250908,-0.18263236629382276,0.9999999999999999,0.027459746907331432,0.027090847005338682,0.19444826561352566,-0.0019378282637519167,-0.0691849732127555,-0.13924305708377183,0.23910961335023323,0.31743322837213134,0.34001679734532886,-0.09549557200613834,-0.09306809242566581,-0.16280970926251456,-0.0780670456473655,0.014766856260645068,-0.09853270779040223,-0.03933155382290865,-0.0937159018155855,-0.029231305269490665,-0.04757722823076918,0.047042882515647366
