,alcohol,phenol,carboxylic_acid,ester,ether,ketone,aldehyde,amine_primary,amine_secondary,amine_tertiary,amide,nitro,nitrile,halogen_F,halogen_Cl,halogen_Br,halogen_I,sulfone,sulfoxide,thiol,phosphate,benzene,pyridine,pyrrole,furan,thiophene,imidazole,indole,quinoline,naphthalene,cyclohexane,cyclopentane,cyclopropane,double_bond,triple_bond,aromatic_N,aromatic_O,aromatic_S,quaternary_carbon,terminal_alkyne,allyl,vinyl,phenyl,methyl,methylene,methine,hbond_donor,hbond_acceptor,positive_ionizable,negative_ionizable,aromatic_ring
amide,-0.029876498469048947,-0.0012614678236165403,-0.08648302623529278,-0.2041604865376102,-0.03759780514702427,-0.19120146292455117,-0.07554234094832703,-0.015006139931104473,0.20422924494425734,0.395964347125804,1.0,-0.11320113291661965,0.03013050286955933,-0.0747451493287813,-0.03759703816657616,-0.05481670450478931,-0.03788948569807827,-0.07713690395015914,-0.011648953351163054,0.019319185482180756,,0.031102360275157167,-0.09771329729137616,-0.0142856710820927,0.02806491603348197,0.007467270997525206,-0.017646915753429665,-0.03453948915389196,-0.03601613256351761,-0.011209212595035559,0.03468052352024685,0.04708968876688111,0.05726224009947817,-0.13045242437677831,-0.005940962579277629,-0.3394711058327075,-0.15665419151988524,-0.0043808673409102775,0.03244715605459206,0.050503378810601414,-0.0834128522987806,-0.115341098691179,0.031102360275157167,0.025770618097743836,0.20140678878364934,0.14627598413910214,0.1124580785701197,0.32321514575604243,-0.11604893638811634,-0.11610821697594599,-0.20503198032480358
nitro,0.06604047642507582,-0.005953213418270674,0.05640974248384606,-0.01629205397084752,-0.010335500796263815,0.008842630387507995,0.16565277850095564,-0.03524499739055862,-0.03875469105965309,0.038544381884681164,-0.11320113291661967,1.0,-0.04787690152665589,-0.0058529670353331216,0.04468479999967744,0.05645533977621546,-0.010840330462845382,0.02387121395010055,-0.0036048882054220874,-0.011941089605790458,,0.10969033989020158,-0.05166244945378168,-0.009747719847351797,0.011165645623800876,-0.02366116027531281,-0.0008175935312630155,-0.007139043179521476,-0.0039021146804080757,-0.0033979627872627286,-0.0333121051463004,-0.01628619671052511,-0.020764341394781716,-0.01793863077393712,-0.013876921223911487,-0.06832210868634811,-0.027133672966602535,-0.02956471844648011,-0.002767298047353368,-0.01170939335753637,-0.014619470711536171,-0.015402895982488762,0.10969033989020158,-0.05099821899247877,-0.052871809209567536,-0.031490322046836626,0.006803767148903554,0.09208269246317663,0.9574895006747624,0.9132341743561574,0.02202927286917978
nitrile,-0.15116641967036543,-0.03086055674705865,-0.11166950504111522,-0.04277034687903464,-0.07866791977178199,-0.008945376267068176,-0.025073693083232634,-0.09324867526605303,-0.08167911567420473,0.005202150919317766,0.03013050286955933,-0.04787690152665589,1.0,0.0012224774997124255,-0.034345629360586334,-0.06483436285560493,-0.011066318600047935,0.030335759998779473,-0.011360616812012671,-0.02092040523049235,,0.07951127154813725,0.07296817907370662,-0.0023701682000778533,-0.013861832770520437,-0.013254230262711397,-0.023355765130650588,-0.015395981165102794,-0.010009866700433412,-0.00324408791159144,-0.06253308677023636,-0.03665086804805527,-0.029950868269718614,0.009495634931280778,-0.052182428645903944,-0.06966923756726211,-0.01819495845956452,-0.03385468126635534,0.030434727832881935,-0.03768687163816943,-0.009393706678898432,0.015834356294084778,0.07951127154813725,-0.0020795788102594796,-0.15728039488764792,-0.19790067376755952,-0.21496889378720582,0.23543360854912973,-0.045389776236665784,-0.04840412913607879,0.057135327514181516
halogen_F,-0.08357670009173969,-0.0341956755068675,-0.05301152509502356,-0.03240580996657147,0.02440580991376257,0.016419504615846434,0.03484522667289459,-0.04764982981414592,-0.07392902503803722,-0.04986112001668897,-0.0747451493287813,-0.0058529670353331216,0.0012224774997124255,1.0,-0.0432265720947061,-0.006286932688293499,-0.015128737581376036,-0.026867523288666883,0.024110292517919713,-0.009624910419057404,,0.06980348153958353,0.025405448340750293,-0.018753201947640828,-0.031841487666607965,-0.02033185522515916,-0.00330865282755165,-0.008744822364962936,-0.019695761258275823,-0.01474058701370882,0.008844281471983836,-0.016541767309016537,-0.02848274926545559,-0.02236047960261449,-0.013289271496363992,0.005340485205449272,-0.015712517503396525,-0.039695931444133144,0.0045519504808553156,-0.02674972251848703,-0.005597155749148315,-0.03167206012011355,0.06980348153958353,-0.12114369192375213,-0.1416476582856289,-0.07758105549754606,-0.1438235125547834,-0.08653325706866909,-0.007367809934255732,-0.007167207057175855,0.060016717124539765
halogen_Cl,-0.02387808633530399,0.04549391267963776,-0.0017594541503744361,-0.017165369868834598,0.006237197106626256,-0.007994007707063579,0.0006696601263546925,0.003305466441415169,-0.056643368297011484,-0.030490137838412798,-0.037597038166576155,0.044684799999677435,-0.034345629360586334,-0.0432265720947061,1.0,0.0024870257331297907,0.00410806694057941,0.0032690214438445583,0.01207809113544017,-0.0001916203750529065,,0.12968113421696942,0.020672835721303344,-0.013475385488974558,-0.01275915332937901,0.03282415061335435,-0.01182208002852575,0.0049257074735871405,0.020040433465561062,-0.012915736749699517,-0.053335396267510285,-0.03492048480263038,-0.02284509997766716,-0.01661864107960383,-0.028610534012986272,-0.004510111975802092,0.014043129884272847,0.031104355864586496,-0.06840145797338551,-0.020080065208656767,-0.032188563585060274,-0.02334606925273178,0.12968113421696942,-0.10815392538417935,-0.15549400768547758,-0.13167993518880858,-0.06299291060911641,-0.043302478030445096,0.04025094941995409,0.036994674500826094,0.1316740173650035
halogen_Br,-0.06957994520911695,-0.02118592443728655,-0.03609054774743995,-0.03372120149740043,-0.08216813864723703,-0.01136728479784938,0.03701613715422896,-0.03467577633160353,-0.059664487226296276,-0.05898498694755336,-0.05481670450478931,0.05645533977621546,-0.06483436285560494,-0.006286932688293498,0.002487025733129791,1.0,0.005075822344377397,-0.023315446238158205,-0.0019955074096951898,-0.01787679185671346,,0.11678604654954215,0.09900765061394548,-0.016242567336494904,-0.0024671478939940366,0.014638466314645757,-0.013345900921606873,-0.013050270591899435,0.031854485054545516,0.020481590064104757,-0.05603249596234634,-0.04529336314886176,-0.05000658915855896,-0.028035507186391362,-0.029948589390229607,0.03210778563377922,0.0317457787150209,-0.0005239589858288625,-0.05682554715224744,-0.02408931224492411,-0.03050526948600993,-0.03379979043348214,0.11678604654954215,-0.07918686164235801,-0.17388129562646615,-0.12738182173059287,-0.1193886384147556,-0.14339758878316056,0.050077550065999316,0.04656349943951959,0.1535377238161273
halogen_I,0.011467018510089945,-0.008093605406724024,-0.00023612294940195686,0.002183760712598747,-0.002937044850379152,-0.0026827619851331115,-0.0006687470890220246,-0.0083064876841511,-0.00785112409414014,-0.024130742842095047,-0.03788948569807827,-0.010840330462845382,-0.011066318600047937,-0.015128737581376037,0.00410806694057941,0.005075822344377397,1.0,-0.008108408501021363,-0.0019201517166405756,-0.0014888159586812035,,0.01756478653582068,0.03384472385384387,-0.0006033648421195697,-0.006990690780480333,-0.0012560473518845674,0.00995594598202528,0.006225717142721441,0.06776797667885107,0.0038673786266983532,-0.012888123596564363,-0.011812405787415855,-0.0043300646776884165,-0.004335030520100757,-0.00383893724920092,0.020053612532354995,-0.016308680061070908,-0.005550216375050899,-0.005555298561174795,-0.009783329895922547,-0.005367946957616633,-0.0026403926735338876,0.01756478653582068,-0.025448724212237067,-0.03903579035539378,-0.03611629674669068,-0.0016630775612260732,-0.037542737668420464,-0.011300448539965818,-0.010810053005360592,0.03582422460081427
sulfone,-0.011852014177142142,-0.008677883487215444,0.020623323057034473,-0.005237465932568607,-0.04264140833409829,-0.011037374924622463,-0.014479152593593154,-0.049262093729302216,-0.07658791906515858,-0.055693370614561595,-0.07713690395015914,0.02387121395010055,0.030335759998779473,-0.02686752328866688,0.0032690214438445583,-0.023315446238158205,-0.008108408501021363,1.0,8.039697031747887e-05,-0.006862193823380689,,0.04886709173546383,-0.03424974727180147,-0.01431457861737288,-0.0019478939331299778,-0.008484267962542398,-0.0074688447009374935,-0.014715145242498293,-0.01125582758211119,0.006311444060465861,-0.021759531563805605,-0.0170604270284881,-0.0165846590386669,0.04775692010152365,-0.0218274546347518,-0.044026916956618756,-0.0009516195863633392,-0.016827431139428955,-0.022566054956822686,-0.019060738602956113,-0.02254154088388219,0.047833256657216085,0.04886709173546383,-0.022977893084284225,-0.02249483823727666,-0.04792566218834848,-0.01636937278197847,0.25808017731994637,0.020892632962281107,0.03605027446935635,-0.006672306919058902
sulfoxide,-0.0008319581162509219,-0.005753751257295868,-0.00026165894702086565,0.012574216550010555,-0.0052816409550359685,0.003752615437565693,-0.0027493011516342356,-0.009942430946414579,-0.008149867413128417,-0.008024536757222676,-0.011648953351163054,-0.0036048882054220874,-0.01136061681201267,0.024110292517919713,0.01207809113544017,-0.00199550740969519,-0.0019201517166405758,8.039697031747887e-05,0.9999999999999998,-0.0021151295879497426,,-0.013400618589356261,0.009028469093883853,-0.0027307354094157563,-0.0023247131467698683,-0.004401940862099123,-0.002418678528750749,-0.0017729718830362111,-0.0026937602974663995,-0.0012811085035335618,-0.008916207474930247,-0.005704142257194268,-0.006185741527507604,-0.0029704124720367976,-0.005288837827730912,-0.01236867287757803,-0.002040235831501672,-0.006648826164935027,-0.0062821076053991565,-0.0041071970239942015,-0.002449557112357413,-0.002507612377330919,-0.013400618589356261,-0.010339665112926399,-0.01010102134686451,-0.012947515965728731,-0.01226283672960346,0.009773117674112992,-0.0037578977686451094,0.0739021777343632,-0.01771241277845599
thiol,-0.020387697471986745,-0.0022882475347454673,-0.011314396501910247,0.019004452132915583,-0.019750694225631103,0.007254188072043695,-0.002187510528657445,0.00018007740171099601,-0.02188016221533893,-0.005433425505518948,0.019319185482180756,-0.011941089605790458,-0.020920405230492347,-0.009624910419057404,-0.0001916203750529065,-0.017876791856713464,-0.0014888159586812035,-0.006862193823380688,-0.002115129587949742,1.0,,0.002694082622221669,-0.003550180382599761,-0.002117313137936274,-0.007700546150525482,-0.010217259839727648,-0.00016727202445075383,-0.005872918913834526,-0.005468680894272704,-0.00424363546487373,-0.01783071512202455,-0.010384160649379267,-0.014432876825209587,-0.004606416161574165,-0.01568800709400748,0.012620974096731996,0.004508840894737197,0.023278904147413217,-0.01813055572314194,-0.013604973274450632,-0.003565222421931463,-0.004322238694433676,0.002694082622221669,-0.027971634893155985,-0.03270101791949238,-0.0136142409782346,0.07210833390706207,-0.0033367825342619215,-0.01244792943018232,-0.011907737685929572,0.010587001453786651
phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
